Time,Voltage
2066.688,0.116589
2066.752,0.116591
2066.816,0.116594
2066.88,0.116596
2066.944,0.116598
2067.008,0.116601
2067.072,0.116593
2067.136,0.116595
2067.2,0.116594
2067.264,0.1166
2067.328,0.116599
2067.392,0.116602
2067.456,0.116598
2067.52,0.116602
2067.584,0.116607
2067.648,0.116607
2067.712,0.116604
2067.776,0.1166
2067.84,0.11659
2067.904,0.116583
2067.968,0.116586
2068.032,0.116593
2068.096,0.116594
2068.16,0.116596
2068.224,0.116592
2068.288,0.116591
2068.352,0.116596
2068.416,0.116605
2068.48,0.116603
2068.544,0.116595
2068.608,0.116605
2068.672,0.116606
2068.736,0.116617
2068.8,0.116606
2068.864,0.116599
2068.928,0.116606
2068.992,0.116613
2069.056,0.116616
2069.12,0.116612
2069.184,0.11661
2069.248,0.11661
2069.312,0.116607
2069.376,0.116593
2069.44,0.116598
2069.504,0.11661
2069.568,0.116607
2069.632,0.116608
2069.696,0.116605
2069.76,0.116608
2069.824,0.11661
2069.888,0.116605
2069.952,0.116605
2070.016,0.116608
2070.08,0.116605
2070.144,0.116595
2070.208,0.116597
2070.272,0.116596
2070.336,0.116604
2070.4,0.116593
2070.464,0.116588
2070.528,0.116592
2070.592,0.116587
2070.656,0.116585
2070.72,0.116588
2070.784,0.116584
2070.848,0.116578
2070.912,0.116578
2070.976,0.116579
2071.04,0.116576
2071.104,0.11658
2071.168,0.116588
2071.232,0.116589
2071.296,0.116584
2071.36,0.116593
2071.424,0.116592
2071.488,0.116583
2071.552,0.116586
2071.616,0.116585
2071.68,0.116592
2071.744,0.116595
2071.808,0.116585
2071.872,0.116583
2071.936,0.11659
2072,0.116589
2072.064,0.116593
2072.128,0.116593
2072.192,0.116591
2072.256,0.116587
2072.32,0.116588
2072.384,0.116583
2072.448,0.116583
2072.512,0.116581
2072.576,0.116583
2072.64,0.116586
2072.704,0.116584
2072.768,0.116582
2072.832,0.116575
2072.896,0.116568
2072.96,0.116563
2073.024,0.116558
2073.088,0.116553
2073.152,0.116554
2073.216,0.116556
2073.28,0.116557
2073.344,0.116554
2073.408,0.116553
2073.472,0.116558
2073.536,0.116574
2073.6,0.116577
2073.664,0.116578
2073.728,0.116586
2073.792,0.116599
2073.856,0.116596
2073.92,0.116593
2073.984,0.116595
2074.048,0.116594
2074.112,0.116596
2074.176,0.116603
2074.24,0.116597
2074.304,0.116596
2074.368,0.116601
2074.432,0.116603
2074.496,0.116605
2074.56,0.1166
2074.624,0.116598
2074.688,0.116596
2074.752,0.116598
2074.816,0.116602
2074.88,0.116603
2074.944,0.116596
2075.008,0.116587
2075.072,0.11659
2075.136,0.1166
2075.2,0.116606
2075.264,0.116607
2075.328,0.116606
2075.392,0.116609
2075.456,0.116611
2075.52,0.116613
2075.584,0.116614
2075.648,0.116628
2075.712,0.11663
2075.776,0.116627
2075.84,0.116625
2075.904,0.11663
2075.968,0.116624
2076.032,0.116624
2076.096,0.116615
2076.16,0.116611
2076.224,0.116612
2076.288,0.116607
2076.352,0.116611
2076.416,0.116616
2076.48,0.116615
2076.544,0.116618
2076.608,0.116626
2076.672,0.116627
2076.736,0.116629
2076.8,0.11663
2076.864,0.116628
2076.928,0.116623
2076.992,0.116623
2077.056,0.116629
2077.12,0.116629
2077.184,0.116635
2077.248,0.116636
2077.312,0.116635
2077.376,0.116632
2077.44,0.116638
2077.504,0.116631
2077.568,0.116636
2077.632,0.116647
2077.696,0.116643
2077.76,0.116643
2077.824,0.116651
2077.888,0.116653
2077.952,0.116646
2078.016,0.116653
2078.08,0.116666
2078.144,0.116668
2078.208,0.116663
2078.272,0.116667
2078.336,0.116669
2078.4,0.116654
2078.464,0.116649
2078.528,0.116653
2078.592,0.116657
2078.656,0.116658
2078.72,0.116659
2078.784,0.116657
2078.848,0.116654
2078.912,0.116636
2078.976,0.116642
2079.04,0.116647
2079.104,0.116639
2079.168,0.116638
2079.232,0.116633
2079.296,0.116619
2079.36,0.116614
2079.424,0.116619
2079.488,0.116619
2079.552,0.116613
2079.616,0.116619
2079.68,0.116612
2079.744,0.116614
2079.808,0.116613
2079.872,0.116617
2079.936,0.116615
2080,0.11662
2080.064,0.116625
2080.128,0.116619
2080.192,0.116624
2080.256,0.116628
2080.32,0.116628
2080.384,0.116626
2080.448,0.116629
2080.512,0.11663
2080.576,0.116628
2080.64,0.116633
2080.704,0.116636
2080.768,0.116635
